Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Price Category
Toyota,2007.0,Nigerian Used,166418.0,2400.0,Petrol,Automatic,3120000,0
Lexus,,,138024.0,,,Automatic,5834000,1
Mercedes-Benz,2008.0,Nigerian Used,376807.0,3000.0,Petrol,Automatic,3640000,0
Lexus,,,213362.0,,,Automatic,3594000,0
Mercedes-Benz,,,106199.0,,,Automatic,8410000,1
Mercedes-Benz,,,87660.0,,,Automatic,5554000,1
Lexus,,,191411.0,,,Automatic,3706000,0
Lexus,,,59092.0,,,Automatic,8410000,1
Mercedes-Benz,,,89423.0,,,Automatic,6506000,1
Lexus,,,184827.0,,,Automatic,4000000,0
Lexus,,,42433.0,,,Automatic,8970000,1
Lexus,,,116138.0,,,Automatic,3034000,0
Lexus,,,167583.0,,,Automatic,3818000,0
Lexus,,,240934.0,,,Automatic,3930000,0
Fiat,,,114.0,,,Automatic,8500000,1
Fiat,,,54.0,,,Manual,12500000,1
Lexus,,,79740.0,,,Automatic,5274000,1
Mercedes-Benz,,,338145.0,,,Automatic,8060000,1
Lexus,,,174545.0,,,Automatic,6506000,1
Land Rover,,,63296.0,,,Automatic,6910000,1
Mercedes-Benz,,,93469.0,,,Automatic,6910000,1
Mercedes-Benz,,,63085.0,,,Automatic,15690000,1
Mercedes-Benz,,,131405.0,,,Automatic,5610000,1
Toyota,,,162853.0,,,Manual,3395000,0
Lexus,,,169675.0,,,Automatic,3146000,0
Lexus,,,147574.0,,,Automatic,3620000,0
Lexus,,,70445.0,,,Automatic,5500000,1
Foton,,,54470.0,,,Manual,4938000,0
Lexus,,,130165.0,,,Automatic,3818000,0
Lexus,,,75478.0,,,Automatic,3497500,0
Lexus,2008.0,Foreign Used,301265.0,3500.0,Petrol,Automatic,4680000,0
Mercedes-Benz,,,145317.0,,,Automatic,10650000,1
Lexus,2011.0,Nigerian Used,105546.0,4600.0,Petrol,Automatic,14040000,1
Lexus,,,60730.0,,,Automatic,3706000,0
Lexus,,,98594.0,,,Automatic,10650000,1
Mercedes-Benz,,,188429.0,,,Automatic,6170000,1
Mercedes-Benz,,,128877.0,,,Automatic,16332500,1
JAC,,,9972.0,,,Automatic,6730000,1
Lexus,,,98226.0,,,Automatic,4378000,0
Lexus,,,211824.0,,,Automatic,3610000,0
JAC,,,35403.0,,,Automatic,7850000,1
Lexus,,,72429.0,,,Automatic,3818000,0
Land Rover,,,82891.0,,,Automatic,5386000,1
Lexus,2011.0,Foreign Used,211917.0,3500.0,Petrol,Automatic,6968000,1
Toyota,2014.0,Nigerian Used,216924.0,2500.0,Petrol,Automatic,9360000,1
Lexus,,,97215.0,,,Automatic,8500000,1
Lexus,,,32096.0,,,Automatic,13450000,1
Lexus,,,,,,,11000000,1
Lexus,,,211824.0,,,Automatic,3610000,0
Lexus,,,72429.0,,,Automatic,3818000,0
Toyota,2014.0,Nigerian Used,216924.0,2500.0,Petrol,Automatic,9360000,1
Lexus,,,81936.0,,,Automatic,3370000,0
Mercedes-Benz,,,146891.0,,,Automatic,4210000,0
Lexus,,,,,,,9000000,1
Lexus,2016.0,Nigerian Used,107355.0,5700.0,Petrol,Automatic,42000000,1
Toyota,2009.0,Nigerian Used,134232.0,2400.0,Petrol,Manual,4725000,0
Mercedes-Benz,,,147895.0,,,Automatic,4490000,0
Mercedes-Benz,2007.0,Foreign Used,209466.0,4700.0,Petrol,Automatic,4515000,0
Mercedes-Benz,,,156155.0,,,Automatic,6730000,1
Mercedes-Benz,2017.0,Nigerian Used,31079.0,3000.0,Petrol,Automatic,41600000,1
Mercedes-Benz,,,34590.0,,,Automatic,5834000,1
Mercedes-Benz,,,81907.0,,,Automatic,3146000,0
Lexus,2010.0,Foreign Used,135819.0,3500.0,Petrol,Automatic,8610000,1
Mercedes-Benz,,,95702.0,,,Manual,3706000,0
Mercedes-Benz,2015.0,Nigerian Used,120785.0,4500.0,Petrol,Automatic,18720000,1
Lexus,2006.0,Nigerian Used,156704.0,3300.0,Petrol,Automatic,3640000,0
Toyota,2013.0,Foreign Used,143701.0,1800.0,Petrol,Automatic,10400000,1
Lexus,2008.0,Nigerian Used,162262.0,4700.0,Petrol,Automatic,4725000,0
Land Rover,,,179633.0,,,Automatic,5050000,1
Mercedes-Benz,,,59295.0,,,Automatic,5610000,1
Land Rover,2011.0,Nigerian Used,132352.0,5000.0,Petrol,Automatic,5250000,1
Toyota,2010.0,Foreign Used,170599.0,3500.0,Petrol,Automatic,6825000,1
Lexus,2007.0,Foreign Used,203492.0,3500.0,Petrol,Automatic,4410000,0
Lexus,2014.0,Foreign Used,72352.0,3500.0,Petrol,Automatic,9240000,1
Mercedes-Benz,,,13123.0,,,Automatic,39210000,1
Lexus,,,63086.0,,,Automatic,7850000,1
Fiat,,,174.0,,,Manual,11700000,1
Lexus,2015.0,Foreign Used,228013.0,3500.0,Petrol,Automatic,15600000,1
Mercedes-Benz,2014.0,Nigerian Used,173644.0,1800.0,Petrol,Automatic,6090000,1
Toyota,2015.0,Foreign Used,79277.0,4000.0,Petrol,Automatic,17680000,1
Lexus,2015.0,Nigerian Used,88745.0,3500.0,Petrol,Automatic,9450000,1
Fiat,2000.0,Foreign Used,286241.0,24000.0,Diesel,Manual,3675000,0
Toyota,2010.0,Foreign Used,158017.0,3500.0,Petrol,Automatic,6825000,1
Toyota,2012.0,Foreign Used,122807.0,3500.0,Petrol,Automatic,8820000,1
Lexus,2004.0,Foreign Used,250650.0,3500.0,Petrol,Automatic,6032000,1
Mercedes-Benz,2006.0,Nigerian Used,243975.0,3500.0,Petrol,Automatic,3360000,0
Lexus,2013.0,Foreign Used,192175.0,3500.0,Petrol,Automatic,9880000,1
Land Rover,2018.0,Foreign Used,30092.0,3000.0,Diesel,Automatic,36750000,1
Lexus,2014.0,Foreign Used,77859.0,3500.0,Petrol,Automatic,10400000,1
Mercedes-Benz,2012.0,Foreign Used,173337.0,3500.0,Petrol,Automatic,11025000,1
Lexus,,,63086.0,,,Automatic,7850000,1
Toyota,2015.0,Foreign Used,88627.0,3500.0,Petrol,Automatic,15600000,1
Lexus,2007.0,Foreign Used,141782.0,4600.0,Petrol,Automatic,4368000,0
Lexus,2005.0,Foreign Used,95873.0,3300.0,Petrol,Automatic,5200000,1
Land Rover,2018.0,Foreign Used,30092.0,3000.0,Diesel,Automatic,36750000,1
Fiat,2000.0,Foreign Used,286241.0,24000.0,Diesel,Manual,3675000,0
Toyota,2011.0,Foreign Used,215398.0,3500.0,Petrol,Automatic,4725000,0
